Column,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44,Column 45,Column 46,Column 47,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54,Column 55,Column 56,Column 57,Column 58,Column 59,Column 60,Column 61,Column 62,Column 63,Column 64,Column 65,Column 66,Column 67,Column 68,Column 69,Column 70,Column 71,Column 72,Column 73,Column 74,Column 75,Column 76,Column 77,Column 78,Column 79
48.0,NE,CE,2311306.0,QUIXADÁ,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro de Referência da Mulher e Cidadania - Quixadá  ,Secretaria de Desenvolvimento Social ,NÃO POSSUI,crmc_2007@hotmail.com/ centrorefmulher@gmail.com ,"Rua José Jucá, nº 110",Rodoviária,63900-000,Ceila Maria Almeida Bezerra,(88)9646-0179,"de segunda a sexta-feira, de 7h30min às 11h30min e das 13h30min às 17h30min. ",ALTERADO - DADOS,MAIO,LÍGIA SILVA,ALTERADO - DADOS,MAIO,2014-05-27T00:00:00Z,2007-01-23T00:00:00Z,2007.0,SIM,1.0,SIM,1.0,SIM,1.0,NÃO,0.0,SIM,2.0,SIM,"COMPLEMENTO DE RESPOSTA 1.5 -  02 Vigilantes noturno trabalham por escala
OUTROS – 02 Auxiliares Adminstrativas e 01 Auxiliar de Serviços Gerais. 
",SIM,SIM,SIM,NÃO,NÃO,NÃO,SIM,COMPLEMENTO DA RESPOSTA 2.2 - Nunca houve caso de idosas. COMPLEMENTO DA RESPOSTA 2.3 - Somente se tiver vinculo familiar caso contrário encaminham para o CREAS. ,NÃO,0.0,NÃO,0.0,SIM,2.0,SIM,1.0,SIM,1.0,SIM,COMPLEMENTO DA RESPOSTA 3.4 e 3.5 - Impressora que é multifuncional ,NÃO,NÃO,NÃO,SIM,SIM,SIM,"COMPLEMENTO DA RESPOSTA 4.1 - É necessário uma reforma pois prédio esta com infiltração, rachaduras nas paredes, colunas, teto.  Problemas nas tubulações dos banheiros. ",SIM,NÃO INFORMADO,NÃO,SIM,"Em Quixadá tem uma casa abrigo mais não está funcionando, caso seja necessário que a cidadã fique em uma casa abrigo ela é encaminhada para casa abrigo de Fortaleza ou para a casa de um familiar dela onde se sinta segura. ",SIM,SEM ESPECIFICAÇÃO,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,"Ceila Maria Almeida Bezerra - Coordenadora 
",LÍGIA SILVA,2014-06-03T00:00:00Z,
49.0,NE,CE,2311603.0,REDENÇÃO,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro de Referência da Mulher (CRM) Helena da Silva Matos - Redenção,Secretaria Municipal de Assistência Social,( 85)3332-1339 Fax: (85)3332-1339,"crmredencao@hotmail.com
stasredencao@hotmail.com","Rua Santa Rita, nº 491",Centro,62790-000,Laise Luna Moura,(85)9934-5004,"de segunda a sexta-feira, das 7h30min às 14h.",ALTERADO - DADOS,MAIO,LÍGIA SILVA,ALTERADO - DADOS,MAIO,2014-05-22T00:00:00Z,2011-06-19T00:00:00Z,2011.0,SIM,1.0,SIM,1.0,SIM,1.0,NÃO,0.0,SIM,1.0,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,NÃO,NÃO,SIM,SIM,COMPLEMENTO DA RESPOSTA 2.6 - Atendem aos agressores devido a vinculação com o caso.  ,SIM,1.0,SIM,1.0,SIM,3.0,SIM,3.0,SIM,3.0,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO,NÃO INFORMADO,SIM,SIM,Caso seja necessário encaminham a cidadã para a Casa Abrigo mais próxima que fica em Fortaleza (55KM),SIM,SEM ESPECIFICAÇÃO,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Ana Goreth Gama - Assistente Social ,LÍGIA SILVA,2014-06-03T00:00:00Z,
50.0,NE,CE,2313302.0,TAUÁ,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro de Referência da Mulher (CRM) Maria Neide Gomes Jataí - Tauá  ,Secretaria Municipal de Assistência  Social,(88)3437-4255,crm.taua@hotmail.com,"Avenida José Valdemar Rêgo, nº 556 ",Centro,63660-000,Leni Moura Coelho,(88)9942-2428,de segunda a sexta-feira:  das 7h às 12h,ALTERADO - DADOS,MAIO,LÍGIA SILVA,ALTERADO - DADOS,MAIO,2014-05-28T00:00:00Z,2012-03-17T00:00:00Z,2012.0,SIM,1.0,SIM,1.0,SIM,1.0,SIM,3.0,SIM,1.0,SIM,"COMPLEMENTO DA RESPOSTA 1.1 e 1.2 e 1.3 - A equipe técnica não é permanente - O psicólogo atende somente 3 dias na semana, Assistente Social atende 4 dias na semana, o advogado atende 2 dias durante a semana.
COMPLEMENTO DA RESPOSTA - 2 pedagogos e 01 educadora.
OUTROS – 01 Recepcionista, 01 Secretaria, 01 Motorista  e 01 Coordenadora.
",SIM,SIM,SIM,NÃO,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,1.0,SIM,1.0,SIM,1.0,NÃO,0.0,SIM,1.0,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,NÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO,NÃO INFORMADO,NÃO,SIM,"Não encaminham para a Casa Abrigo por ser muito distante, é um dos maiores problemas que o Centro de Referência enfrenta atualmente.  Relata que a cidadã é encaminhada para casa de um parente onde ela se sinta segura, pois a Casa Abrigo mais próxima fica em Fortaleza (450Km).  ",SIM,SEM ESPECIFICAÇÃO,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Leni Moura Coelho - Coordenadora,LÍGIA SILVA,2014-06-03T00:00:00Z,
51.0,NE,CE,2313401.0,TIANGUÁ,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro de Referência da Mulher (CRM) - Tianguá  ,Secretaria de Ação e Cidadania Social,(88)3671-1129 ,crmdetiangua@hotmail.com,"Rua Sargento Evaldo, s/nº  Referência: vizinha a antiga Casa da Cultura e próximo ao DETRAN",Santo Antônio,62320-000,Aurilene Lopes Araujo ,(88)9434-5782,de segunda a sexta-feira das 7h30min às 11h30min e de 13h às 17h.,ALTERADO - DADOS,MAIO,LÍGIA SILVA,ALTERADO - DADOS,MAIO,2014-05-22T00:00:00Z,2009-12-10T00:00:00Z,2009.0,SIM,1.0,SIM,1.0,SIM,1.0,NÃO,0.0,NÃO,0.0,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,NÃO,NÃO,NÃO,NÃO,SIM,"COMPLEMENTO DA RESPOSTA 2.2 - Encaminham o para o CREAS
COMPLEMENTO DA RESPOSTA 2.3 - Encaminham para o Conselho Tutelar ou para o CREAS
",NÃO,0.0,SIM,1.0,SIM,1.0,SIM,1.0,NÃO,0.0,SIM,"COMPLEMENTO DA RESPOSTA 3.1 - É necessário que seja instalado urgentemente um telefone no Centro de Referência, pois o telefone que é utilizado é o da Secretaria do Trabalho  e Assistência Social.   ",SIM,NÃO,SIM,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO INFORMADO,NÃO,SIM,"Informa que foi inaugurada,  mais ainda não está funcionando 01 Casa em Tianguá onde a cidadã será acolhida no caso dela estar correndo risco eminente de morte.",SIM,SEM ESPECIFICAÇÃO,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Aurilene Lopes Araujo - Coordenadora ,LÍGIA SILVA,2014-06-03T00:00:00Z,
52.0,NE,CE,2314102.0,VIÇOSA DO CEARÁ,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro de Referencia Especializado no Atendimento a Mulher em Situação de Violência (CREAM) - Viçosa do Ceará  ,Secretaria de Cidadania e Promoção Social,"(88)3632-1544  Fax: (88)3632-1544(Obs.: telefone da Secretaria de Cidadania e Promoção Social, pois no CREAM não tem telefone.  ",creamvicosace2013@hotmail.com,"Loteamento Manuel Joana, s/nº - Referência : Antigo Sítio do Comum",Fátima,6.23E7,Thanandra Wanessa de Sousa Veras ,(88)9607-0005 e (88)9253-5471,"de segunda a sexta-feira, das  7h30min às 12h e das 13h30min às 17h.",ALTERADO - DADOS,MAIO,LÍGIA SILVA,ALTERADO - DADOS,MAIO,2013-11-04T00:00:00Z,2009-07-17T00:00:00Z,2009.0,SIM,1.0,SIM,1.0,NÃO,0.0,NÃO,0.0,SIM,1.0,SIM,COMPLEMENTO DA RESPOSTA 1.3 - A Secretaria de Cidadania disponibiliza 01 advogado para fazer atendimento no CREAM  2 vezes na semana até contratarem a advogada no CREAM. ,SIM,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO,NÃO,0.0,NÃO,0.0,NÃO,0.0,SIM,2.0,NÃO,0.0,SIM,COMPLEMENTO DA RESPOSTA 3.3 - 02 computadores que não tem acesso a internet,SIM,SIM,SIM,SIM,SIM,SIM,COMPLEMENTO DA RESPOSTA 4.2 – O prédio é do CREAM e foi cedida algumas sala ao CREAS com entradas independentes e equipes distintas.,SIM,NÃO INFORMADO,NÃO,SIM,Caso seja necessário a cidadã é encaminhada para Fortaleza (300KM) ou Sobral (2h). Até o momento nunca houve necessidade de entrarem em contato com a Casa Abrigo. ,SIM,SEM ESPECIFICAÇÃO,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Thanandra Wanessa de Sousa Veras - Coordenadora ,LÍGIA SILVA,2014-06-03T00:00:00Z,
53.0,CO,DF,5300108.0,BRASÍLIA,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento a Mulher (CEAM) - Brasilia,Secretaria de Estado da Mulher do Distrito Federal,6133236184; 6133238676,centromulherdf@gmail.com,Estação do Metrô da 102 Sul -Referência: Dentro da Estação do Metrô  ,Asa Sul,7.033E7,Karla Valente Sanches Ribeiro,(61)8112-9910,"segunda a sexta-feira, das 7h às 19h.",ALTERADO - DADOS,MAIO,LÍGIA SILVA,ALTERADO - DADOS,MAIO,2014-05-20T00:00:00Z,2012-08-07T00:00:00Z,2012.0,SIM,6.0,SIM,3.0,SIM,1.0,NÃO,0.0,SIM,3.0,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,NÃO,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO ,SIM,6.0,SIM,1.0,SIM,7.0,SIM,1.0,SIM,1.0,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO INFORMADO,NÃO,SIM,Informa que em Brasilia é a DEAM que encaminha a cidadã para a Casa Abrigo,SIM,SEM ESPECIFICAÇÃO,NÃO,Núcleo de Atendimento à Família e aos Autores de Violência Doméstica (NAFAVD).,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Jassanã da Silva Lacerda Batitucci - Psicológa ,LÍGIA SILVA,2014-06-03T00:00:00Z,
54.0,CO,DF,5300108.0,BRASÍLIA,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento a Mulher (CEAM) - S.I.A,Secretaria de Estado da Mulher do Distrito Federal,6.133558133E9,centromulherdf@gmail.com,SIA Trecho 2 Lote 2075 a 2115 - Térreo - Referência : Final da Rua da CIMFEL em frente ao Posto Ipiranga,SIA (Setor de Indústria e Abastecimento),7.120002E7,Karla Valente Sanches Ribeiro,(61)81129910,"de segunda a quinta-feira, das 8h às  18h. ",ALTERADO - DADOS,MAIO,LÍGIA SILVA,ALTERADO - DADOS,MAIO,2014-05-20T00:00:00Z,NÃO INFORMADO,2013.0,NÃO,0.0,NÃO,0.0,SIM,1.0,NÃO,0.0,NÃO,0.0,SIM,COMPLEMENTO DA RESPOSTA 1.5 - Tem vigilante do prédio.,SIM,SIM,SIM,NÃO,NÃO,NÃO,SIM,"COMPLEMENTO DA RESPOSTA 2.3 - Acolhimento e encaminham caso seja necessário para outra rede de apoio.  
COMPLEMENTO DA RESPOSTA 2.6 - Encaminham para o NAFAVD
",SIM,2.0,SIM,1.0,SIM,3.0,SIM,1.0,SIM,1.0,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,SIM,SIM,SIM,"COMPLEMENTO DA RESPOSTA 4.2 - No prédio tem vários órgãos, mas o CRAM tem  sala especifica.",SIM,NÃO INFORMADO,NÃO,SIM,Somente a DEAM pode encaminhar para casa abrigo.,SIM,SEM ESPECIFICAÇÃO,NÃO,Núcleo de Atendimento à Família e aos Autores de Violência Doméstica (NAFAVD).,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Erika dos Santos Laurindo - Agente Social  ,LÍGIA SILVA,2014-06-03T00:00:00Z,
55.0,CO,DF,5300108.0,BRASÍLIA,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher (CEAM) - Planaltina ,Secretaria de Estado da Mulher do Distrito Federal,(61)3389-0841 e (61)3388-0294,centromulherdf@gmail.com,Jardim Roriz -  Àrea Especial - Entre Quadras 1 e 2 ,Planaltina,"73340112

",Karla Valente Sanches Ribeiro,(61)8112-9910,"de segunda a sexta-feira, das 8h às 18h. ",ALTERADO - DADOS,MAIO,LÍGIA SILVA,INSERIDO,MAIO,2014-05-20T00:00:00Z,2014-02-14T00:00:00Z,2014.0,SIM,2.0,SIM,1.0,SIM,1.0,NÃO,0.0,SIM,1.0,SIM,COMPLEMENTO DA RESPOSTA 1.3 – Tem uma advogada que atende na terça-feira e quinta das 8h às 12h e das 14h às 18h.  COMPLEMENTO DA RESPOSTA 1.4 -  Tem 01 Agente Social . COMPLEMENTO DA RESPOSTA COMPLEMENTO DA RESPOSTA 1.5 -  Informou que  por turno é 01 vigilante.,SIM,SIM,SIM,NÃO,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO ,SIM,3.0,SIM,1.0,SIM,2.0,SIM,1.0,NÃO,0.0,SIM,"COMPLEMENTO DA RESPOSTA 3.3 - Tem 06 computadores

Informou que estão necessitando de um ar condicionado. ",SIM,NÃO,SIM,SIM,SIM,SIM,COMPLEMENTO DA RESPOSTA 4.3 - Além da brinquedoteca tem também um parquinho para as crianças.,SIM,NÃO INFORMADO,NÃO INFORMADO,SIM,Somente a DEAM pode encaminhar  ,SIM,SEM ESPECIFICAÇÃO,NÃO,O Tribunal de Justiça  e o Ministerio Público encaminham os agressores para os NAFAVDS.  ,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Jamel Reis A. Salgado - Chefe de Memória Feminista - dia 20/05/2014,LÍGIA SILVA,2014-06-03T00:00:00Z,
56.0,CO,DF,5300108.0,BRASÍLIA,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher (CEAM) - Ceilândia ,Secretaria de Estado da Mulher do Distrito Federal,(61)3372-1661,centromulherdf@gmail.com ,QNM 02 Conjunto F Lotes 1/3 ,Ceilândia Centro,72210-020,Karla Valente Sanches Ribeiro,(61)8112-9910,"de segunda a sexta-feira, das 8h às 18h",INSERIDO,SETEMBRO,LÍGIA SILVA,INSERIDO,SETEMBRO,2014-09-15T00:00:00Z,2014-09-12T00:00:00Z,2014.0,SIM,2.0,SIM,1.0,SIM,1.0,NÃO,0.0,SIM,4.0,SIM,COMPLEMENTO DA RESPOSTA 1.3 - 01 Especialista de Assitência Social de  Direto e Legislação.,SIM,SIM,NÃO,NÃO,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO ,NÃO INFORMADO,0.0,NÃO INFORMADO,0.0,NÃO INFORMADO,0.0,NÃO INFORMADO,0.0,NÃO INFORMADO,0.0,SIM,OBS.:  DEVIDO O SERVIÇO TER SIDO INAUGURADO RECENTEMENTE AINDA  NÃO RECEBERAM TODOS OS EQUIPAMENTOS.,SIM,NÃO,SIM,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO INFORMADO,NÃO INFORMADO,SIM,COMPLEMENTO DA RESPOSTA 5.2 – a Delegacia que encaminha a cidadã para a Casa Abrigo. ,SIM,SEM ESPECIFICAÇÃO,NÃO,O Tribunal de Justiça  e o Ministerio Público encaminham os agressores para os NAFAVDS.  ,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Jacanã da Silva Lacerda Batitucci - Psicologa - dia 16/09/2014,LÍGIA SILVA,2014-09-22T00:00:00Z,
57.0,SE,ES,3205200.0,VILA VELHA,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro de Referência de Atendimento à Mulher (CRAM) Vive - Vila Velha,Secretaria de Prevenção e Combate a Violência    ,(27)3388-4216       ,spmulheres@vilavelha.es.gov.br e elainebonorino@vilavelha.es.gov.br,"Rua Cabo Ailson Simões - Edifício Central Park, 536 – 1º andar ",Centro,29100-325,Elaine Bello Bonorino,(27)99870-0848,"de segunda a sexta-feira, das 8h às 17h.",INSERIDO,NOVEMBRO,CAMILLA PAOLONE,ALTERADO - DADOS,OUTUBRO,2014-10-31T00:00:00Z,NÃO INFORMADO,NÃO INFORMADO,SIM,1.0,SIM,6.0,SIM,1.0,NÃO,0.0,SIM,1.0,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,NÃO,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,2.0,NÃO,0.0,SIM,3.0,NÃO,0.0,NÃO,0.0,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,NÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO INFORMADO,NÃO INFORMADO,SIM,O CRAM realiza encaminhamento para casa abrigo sempre que necessário.,SIM,SEM ESPECIFICAÇÃO,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,"Elaine Bello Bonorino
Coordenadora
",Grazielle Reis,2014-11-03T00:00:00Z,
58.0,CO,GO,5205406.0,CERES,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro Regional de Referência da Mulher (CRRM) - Ceres   ,Prefeitura Municipal de Ceres e à Gerência de Políticas Pública para as Mulheres,(62)3323-1056 - 6285911949,mulheresceres@gmail.com  ,"Rua 31, Praça da Feira",Setor Vila Nova,76300-000,Cristiane Jacinto Costa Diniz,NÃO INFORMADO,"Segunda a sexta-feira, das 8h às 11h e das 13h às 17h.",ALTERADO - DADOS,MAIO,LÍGIA SILVA,CONFERIDO,MAIO,2014-05-21T00:00:00Z,2009-09-01T00:00:00Z,2009.0,SIM,1.0,SIM,1.0,SIM,1.0,NÃO,0.0,SIM,1.0,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,NÃO,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,3.0,SIM,1.0,SIM,4.0,SIM,2.0,SIM,2.0,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,NÃO INFORMADO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Janaime Alves da Silva/Recepcionista,STELLA,2014-06-03T00:00:00Z,
59.0,CO,GO,5208707.0,GOIÂNIA,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro de Referência da Mulher Cora Coralina - Goiânia ,Secretaria Municipal de Políticas para as Mulheres,(62)3524-2933 - (62)3524-2934 - Fax: (62)3524-2933,secmuher@smpm.goiania.go.gov.br / secmulhergoiania@gmail.com,"Rua 16 A, nº 350",Setor Aeroporto,74075-150,Gleidy Elmice Barbosa Franco,NÃO INFORMADO,"Segunda a sexta-feira, das 8h às 18h",ALTERADO - DADOS,MAIO,LÍGIA SILVA,CONFERIDO,MAIO,2014-05-26T00:00:00Z,2004-03-01T00:00:00Z,2004.0,SIM,1.0,SIM,1.0,SIM,1.0,NÃO,0.0,SIM,1.0,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,NÃO,NÃO,NÃO,NÃO,SIM,SEM ESPECIFICAÇÃO,SIM,1.0,SIM,1.0,SIM,1.0,SIM,1.0,SIM,1.0,SIM,Livros,SIM,SIM,SIM,SIM,SIM,SIM,Auditório,NÃO,NÃO INFORMADO,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,Atualizado através do questionário recebido por e-mail.,Gleidy Elmice Barbosa Franco/Diretora de Projetos,STELLA,2014-06-03T00:00:00Z,
60.0,CO,GO,5208905.0,GOIÁS,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher (CEAM) Brasilete Ramos Caiado - Goiás ,Prefeitura Municipal,(62)3371-2784  Fax: (62)3371-2784,ceamcidadegoias@gmail.com  ,"Rua Beco da Taquara, nº 39",Centro,76600-000,Elenísia da Mata de Jesus,NÃO INFORMADO,"Segunda a sexta-feira, das 7h às 11h e das 13h às 17h",CONFERIDO,MAIO,LÍGIA SILVA,CONFERIDO,MAIO,2014-05-20T00:00:00Z,2009-11-10T00:00:00Z,2009.0,NÃO,0.0,SIM,1.0,NÃO,0.0,SIM,1.0,NÃO,0.0,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,1.0,SIM,1.0,SIM,4.0,NÃO,0.0,NÃO,0.0,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,NÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO,NÃO INFORMADO,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Eliane Viana/Assistente Social,STELLA,2014-06-03T00:00:00Z,
61.0,CO,GO,5211800.0,JARAGUÁ,NIAM/NUAM Núcleos integrados de atendimento à mulher,NIAM/NUAM Núcleos integrados de atendimento à mulher,Núcleo de Atendimento as Mulheres em Estado de Risco - Casa da Mulher - Jaraguá  ,Prefeitura Municipal de Jaraguá e à Fundação Grace Machado,"(62)3326-1153, (62)3326-3775 (fax)",NÃO INFORMADO,"Avenida Coronel Tubertino Rios, nº 345",Centro,76330-000,Cristiane Marques,NÃO INFORMADO,"Segunda a sexta-feira, das 8h às 11h e de 13h às 17h",ALTERADO - DADOS,MAIO,LÍGIA SILVA,ALTERADO - DADOS,MAIO,2014-05-21T00:00:00Z,2013-03-08T00:00:00Z,2013.0,SIM,1.0,NÃO,0.0,NÃO,0.0,NÃO,0.0,SIM,1.0,SIM,"Como há parceria com a Fundação Grace Machado, nos casos necessários, as cidadãs são encaminhas para atendimento de assistência social, advogado e pedagoga.",SIM,SIM,NÃO,NÃO,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,2.0,SIM,1.0,SIM,2.0,SIM,2.0,NÃO INFORMADO,0.0,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO,SEM ESPECIFICAÇÃO,SIM,SEM ESPECIFICAÇÃO,NÃO INFORMADO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Sandra Costa/Secretária,STELLA,2014-06-03T00:00:00Z,
62.0,CO,GO,5219308.0,SANTA HELENA DE GOIÁS,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro de Referência de Atendimento à Mulher (CRAM) - Santa Helena de Goiás,Núcleo de Pratica Jurídica e à Prefeitura Municipal,(64)3641-5093 Fax: (64)3641-5093 ,francioneresende@gmail.com  ,"Rua Duplanil Faria de Souza, nº 292",Centro,75920-000,Francione Resende de Souza,(64)9286-9311,"Segunda a sexta-feira, das 8h às 11h e das 13h às 17h.",CONFERIDO,MAIO,LÍGIA SILVA,CONFERIDO,MAIO,2014-05-20T00:00:00Z,2009-09-01T00:00:00Z,2009.0,NÃO,0.0,NÃO,0.0,SIM,2.0,NÃO,0.0,NÃO,0.0,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,SIM,SIM,SIM,SIM,"Homens, independente da idade, são atendidos em alguns casos jurídicos.",SIM,4.0,SIM,1.0,SIM,6.0,SIM,4.0,SIM,2.0,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,NÃO,SIM,SIM,"Existe o local para a brinquedoteca, porém está fechado. Pois não está adequado para receber o público, necessita reformas.",SIM,NÃO INFORMADO,SIM,SIM,"São encaminhadas para Goiânia, que fica há 200 km.",NÃO,SEM ESPECIFICAÇÃO,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Lorena Assis/Secretária,STELLA,2014-06-03T00:00:00Z,
63.0,CO,GO,5221601.0,URUAÇU,Centro Especializado de Atendimento à Mulher,Centro Especializado de Atendimento à Mulher,Centro de Referência da Mulher - Uruaçu,Secretaria de Desenvolvimento Social ,(62)3357-4137 ,crm@uruacu.go.gov.br,Rua Carioca Quadra 7 Lote 4 ,Setor Novo Rio,76400-000,Coordenadora Selma Amancio Pimenta Barbosa,NÃO INFORMADO,"de segunda a sexta-feira, das 8h às 11h e das 13h às 17h",INSERIDO,AGOSTO,LÍGIA SILVA,INSERIDO,AGOSTO,2014-08-26T00:00:00Z,2013-03-18T00:00:00Z,2013.0,SIM,1.0,SIM,1.0,NÃO,0.0,NÃO,0.0,SIM,1.0,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,NÃO,NÃO,NÃO,NÃO,SIM,COMPLEMENTO DA RESPOSTA 2.2 – Encaminham idosas para o CREAS. ,SIM,2.0,SIM,1.0,SIM,5.0,SIM,2.0,SIM,1.0,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO,NÃO INFORMADO,NÃO INFORMADO,SIM,COMPLEMENTO DA RESPOSTA 5.1 – A Casa Abrigo fica em Goiânia (200km) de distância.  ,SIM,SEM ESPECIFICAÇÃO,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,SEM ESPECIFICAÇÃO,Contato mantido com Sra Selma Amâncio Pimenta Barbosa - Coordenadora - Dia 26/08/20014.,LÍGIA SILVA,2014-09-01T00:00:00Z,
