Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42
11.0,NE,BA,2927408.0,SALVADOR,Núcleos/Defensórias Especializados de Atendimento à Mulher,Núcleos/Defensórias Especializados de Atendimento à Mulher,Núcleo de Atendimento às Mulheres Vítimas de Violência Doméstica e Familiar da Defensoria Publica - Salvador ,(71)3117-6935          (71)3116-6012,firmiane.souza@defensoria.ba.gov.br,"Rua Pedro Lessa, nº 123",Canela,40110-050 ,Firmiane Venâncio do Carmo Souza,NÃO INFORMADO,de segunda a quinta-feira 8h30min às 12h e das 14h às 18h,ALTERADO - DADOS,AGOSTO,2014-08-06T00:00:00Z,NÃO INFORMADO,2010.0,"Orientação psicológica, assessoria jurídica na área civil: divisão de bens, medidas protetivas, etc., na área de família: guarda de filhos, pensão alimentícia, etc. Encaminha mulheres para outros serviços: casa abrigo, CEAM, etc.
",SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,"Edneice Bomfim Duarte.
Técnica administrativa.
",Maria Mônica,2014-08-06T00:00:00Z,
12.0,NE,BA,2927408.0,SALVADOR,Promotorias Especializadas/Núcleos de Gênero do MP,Promotorias Especializadas/Núcleos de Gênero do MP,Grupo de Atuação Especial em Defesa da Mulher (GEDEM) - Salvador ,(71)3321-1949      (71)3266-4526  ,mteixeira@mp.ba.mp.br                         ,"Rua Arquimedes Gonçalves, nº 142",Jardim Baiano,40050-300,Márcia Regina Ribeiro Teixeira,(71)8868- 8675,"de segunda a sexta-feira, das 8h às 17h. ",ALTERADO - DADOS,AGOSTO,2014-07-24T00:00:00Z,2006-12-21T00:00:00Z,2006.0,"
Orientação psicológica, 
Assessoria jurídica na área criminal (Lei Maria da Penha, Crimes e infrações penais),
Assessoria jurídica na área civil: divisão de bens, medidas protetivas, etc. 
Assessoria jurídica na área de família: guarda de filhos, pensão alimentícia, etc.
Encaminha mulheres para outros serviços: casa abrigo, CEAM, etc.
",SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO INFORMADO,NÃO INFORMADO,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,"Luciana Costa Sá.
Secretária da Promotora.
",Maria Mônica,2014-08-05T00:00:00Z,
13.0,NE,CE,2304400.0,FORTALEZA,Núcleos/Defensórias Especializados de Atendimento à Mulher,Núcleos/Defensórias Especializados de Atendimento à Mulher,Núcleo de Enfrentamento à Violência Contra a Mulher (NUDEM) - Fortaleza ,(85)3101-2259    ,nudem@defensoria.ce.gov.br,"Rua Padre Francisco Pinto, nº 363 - esquina com a Rua Redenção - Referência: Próximo ao Hospital Mira Lopes ",Benfica ,60020-290 ,Coordenador Luiz Fernando de Castro da Paz ,(85)3278-7192,Atendimento: de segunda a sexta-feira das 8h às 17h.,ALTERADO - DADOS,AGOSTO,2014-08-06T00:00:00Z,NÃO INFORMADO,NÃO INFORMADO,"Área cível, criminal e familiar e medidas protetivas.",SIM,NÃO,NÃO INFORMADO,O homem agressor encaminha para o juizado ,NÃO,NÃO,O serviço funciona  no 3º Andar (Não tem elevador) caso apareça uma pessoa com necessidades especiais para ser atendida no NUDEM o Defensor faz o atendimento em uma sala no Térreo.,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,O agressor é atendido no Juizado.,LEVANTAMENTO REALIZADO COM SUCESSO,Obs. Vinculado à Defensoria Pública . Daniel Monteiro - Defensor Público,Juliana,2014-08-07T00:00:00Z,
14.0,NE,CE,2312908.0,SOBRAL,Promotorias Especializadas/Núcleos de Gênero do MP,Promotorias Especializadas/Núcleos de Gênero do MP,Núcleo de Gênero Pró-Mulher - Sobral ,(88)3613-1281 (88)3613-1326   - Fax:  (88)3613-1326    ,npromulhersobral@mp.ce.gov.br ,"Rua Vila Soares, nº 1064 - Referência: em frente à comunidade Shalom, ao lado da tia Edite ",Campo dos Velhos,62030-150 ,Maria Ivone Araujo - Promotora de Justiça ,NÃO INFORMADO,"Atendimento: de segunda a sexta-feira, das 8h às 15h. ",ALTERADO - DADOS,AGOSTO,2014-08-04T00:00:00Z,2011-08-17T00:00:00Z,2011.0,Fiscalização e apoio as instituições nas realizações de campanhas sobre a  violência doméstica e familiar,SIM,NÃO,NÃO INFORMADO,SEM ESPECIFICAÇÃO,SIM,NÃO,SEM ESPECIFICAÇÃO ,NÃO,NÃO,SIM,Encaminha as mulheres para o CREAS.,SIM,NÃO,SIM,"COMPLEMENTO DA PERGUNTA SOBRE MEDIDAS PROTETIVAS -  Encaminham para a Vara de Violência Doméstica onde a Promotora Dra Maria Ivone Araujo Dias Cristino 
Também atende. COMPLEMENTO DA RESPOSTA 6.2 -  encaminhado para o CREAS (faz acompanhamento do agressor e das crianças). ",LEVANTAMENTO REALIZADO COM SUCESSO,Ana Maria de Paiva Dias - Secretária do Núcleo de Gênero  obs. Vinculado à Procuradoria Geral de Justiça. ,Juliana,2014-08-07T00:00:00Z,
15.0,NE,CE,2307304.0,JUAZEIRO DO NORTE,Promotorias Especializadas/Núcleos de Gênero do MP,Promotorias Especializadas/Núcleos de Gênero do MP,Promotoria de Combate a Violência Doméstica e Familiar Contra a Mulher - Juazeiro do Norte ,(88)3571-5253 (88)3571-5195 - Fax: (88)3571-5253 ,silvacleverlanio@hotmail.com ,"Rua Manoel Miguel dos Santos, nº 130 ",Lagoa Seca ,63040-150 ,Doutor José Cleverlânio Pereira da Silva ,NÃO INFORMADO,"Atendimento: de segunda a sexta-feira, das 9h às 16h.",CONFERIDO,AGOSTO,2014-07-29T00:00:00Z,2008-01-09T00:00:00Z,2008.0,Somente questões referente a Lei Maria da Penha. Encaminham a cidadã para a rede de apoio caso seja necessário.  ,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SEM ESPECIFICAÇÃO ,NÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO,Elma Carla Figueiredo - Estagiaria ,Juliana,2014-08-07T00:00:00Z,
16.0,NE,CE,2304400.0,FORTALEZA,Promotorias Especializadas/Núcleos de Gênero do MP,Promotorias Especializadas/Núcleos de Gênero do MP,Promotoria de Justiça de Defesa da Mulher - Fortaleza  ,(85)3214-2230 (85)3214-2673 – Fax: (85)32142673   ,nucleopromulher.for@mp.ce.gov.br ,"Rua Waldery Uchoa, nº 260 ",Benfica ,60020-110 ,Doutora Roberta Coelho Maia Alves ,NÃO INFORMADO,"Atendimento: de segunda a sexta-feira, das 8h às 17h. ",CONFERIDO,AGOSTO,2014-08-05T00:00:00Z,2008-07-25T00:00:00Z,2008.0,Área criminal. Encaminham a cidadã para a rede de apoio.  ,SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SEM ESPECIFICAÇÃO ,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO,Estela Mares - Assessora Técnica ,Juliana,2014-08-07T00:00:00Z,
17.0,NE,CE,2304400.0,FORTALEZA,Promotorias Especializadas/Núcleos de Gênero do MP,Promotorias Especializadas/Núcleos de Gênero do MP,Núcleo de Gênero Pró-Mulher - Fortaleza  ,(85)3214-2673 (85)3214-2230 - Fax: (85)3214-2673     ,nucleopromulher.for@mp.ce.com.br  ,"Rua Waldery Uchoa, nº 260 - Referência: em frente à Telesoft ",Benfica,60020-110 ,Procuradora: Antonia Elfuerdia Silva de Andrade ,NÃO INFORMADO,"Atendimento: de segunda a sexta-feira, das 8h às 17h. ",ALTERADO - DADOS,AGOSTO,2014-07-28T00:00:00Z,NÃO INFORMADO,2011.0,"Área criminal, cível e familiar. Encaminham a cidadã para a rede de apoio.  ",SIM,NÃO,SIM,No caso homens encaminha para defensor público do agressor que fica no juizado de violência doméstica e familiar,SIM,NÃO,SEM ESPECIFICAÇÃO ,NÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,"Encaminha para o juizado de violência doméstica e familiar, onde tem um defensor público do agressor.",LEVANTAMENTO REALIZADO COM SUCESSO,"Obs. O informante disse que vão ficar na casa até meado do mês de Agosto, solicitou para ligar em Setembro haverá uma mudança de endereço. Tiago Patrício - Técnico Ministerial da Promotoria de Violência Doméstica ",Juliana,2014-08-07T00:00:00Z,
18.0,NE,CE,2307304.0,JUAZEIRO DO NORTE,Promotorias Especializadas/Núcleos de Gênero do MP,Promotorias Especializadas/Núcleos de Gênero do MP,Núcleo de Gênero Pró-Mulher - Juazeiro do Norte ,(88)3571-8756    ,NÃO INFORMADO,"Rua Sargento José Marcolino Brasileiro, nº 569",Lagoa Seca ,63040-170 ,José Cleverlânio Pereira da Silva ,(88)3571-5253 ,"de segunda a sexta-feira, das 8h às 14h.",ALTERADO - DADOS,AGOSTO,2014-08-06T00:00:00Z,2011-04-28T00:00:00Z,2011.0,"palestras sócio-educativas, oficinas, dinâmicas de grupos, em casos de violência doméstica encaminham para a rede de apoio. ",SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO ,NÃO,NÃO,SIM,COMPLEMENTO DA RESPOSTA 4.5 e 4.6 - Encaminham para a Promotoria.  ,SIM,NÃO,SIM,Em relação as Medidas Protetivas a cidadã é encaminhada para a Promotoria ou Juizado que fica próximo do Núcleo.  ,LEVANTAMENTO REALIZADO COM SUCESSO,obs. Vinculado ao Ministério Público do Estado do Ceará. José Cleverlânio Pereira da Silva - Promotor de Justiça e Coordenador do Núcleo de Gênero,Juliana,2014-08-07T00:00:00Z,
19.0,CO,DF,5300108.0,BRASÍLIA,Promotorias Especializadas/Núcleos de Gênero do MP,Promotorias Especializadas/Núcleos de Gênero do MP,1ª Promotoria de Justiça de Defesa da Mulher em Situação de Violência Doméstica - Núcleo Bandeirante,(61)3486-6400 ,NÃO INFORMADO,"Quadra 03, Conjunto B, Lotes 2/4 - Setor de Indústrias Bernardo Sayão",Núcleo Bandeirante,71736-302 ,Kédyma Cristiane Almeida Silva,NÃO INFORMADO,"De segunda a sexta-feira, das 12h às 19h",ALTERADO - DADOS,AGOSTO,2014-07-31T00:00:00Z,NÃO INFORMADO,2010.0,"Oferece denúncia contra agressores

Apuração de denúncias sobre descumprimento de medidas protetivas

Apuração de Denúncias sobre serviços",SIM,SIM,NÃO INFORMADO,SEM ESPECIFICAÇÃO,SIM,SIM,Há salas de atendimento e horários separados para a vítima e agressor,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO,SIM,"São encaminhados para o Nafavd - Núcleo de Atendimento as Famílias, Vítimas e Autores de Violência Doméstica",LEVANTAMENTO REALIZADO COM SUCESSO,"Áurea Rangel - Chefe do Setor de Controle, Acompanhamento de Medidas alternativas",Camilla Paolone,2014-08-07T00:00:00Z,
20.0,CO,DF,5300108.0,BRASÍLIA,Promotorias Especializadas/Núcleos de Gênero do MP,Promotorias Especializadas/Núcleos de Gênero do MP,Núcleo de Gênero Pró-Mulher do Ministério Público do Distrito Federal e Territórios - Brasília,"(61)3343-6086 
Fax: (61)3343-9848",pro-mulher@mpdft.mp.br,"Eixo Monumental, Praça do Buriti, Lote 2, 1º Andar, Sala  144 - Referência: Edifício Sede do MPDFT ",Eixo Monumental ,70790-115 ,Thiago André Pierobom de Ávila ,NÃO INFORMADO,"De segunda a sexta-feira, das 12h às 19h. ",ALTERADO - DADOS,AGOSTO,2014-07-31T00:00:00Z,NÃO INFORMADO,2005.0,"Articulação de Politicas Públicas, orgão fiscalizador dos serviços da Rede de Atendimento à Mulher em Situação de Violência e Assessoria jurídica na área criminal - Lei Maria da Penha",SIM,SIM,NÃO INFORMADO,SEM ESPECIFICAÇÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO,NÃO,SIM,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,Flavia Francinny Brito de Oliveira - Chefe do serviço de suporte as atividades do Núcleo,Camilla Paolone,2014-08-07T00:00:00Z,
21.0,CO,DF,5300108.0,BRASÍLIA,Promotorias Especializadas/Núcleos de Gênero do MP,Promotorias Especializadas/Núcleos de Gênero do MP,Projeto Sempre Viva de Proteção Integral a Mulher em Situação de Violência - Ceilândia ,"(61)3471-8363 
(61)3471-8342  
 fax:(61)3471-8300 ",elaine.vieira@mpdft.mp.br/  www.mpdft.mp.br/sempreviva / ceilandia-CA@mpdft.mp.br,"QNM 11, Área Especial lote 01 e 02
Centro Urbano",Ceilândia Sul,72225-110 ,Elaine Novaes Vieira ,(61)3471-8363,"De segunda a sexta-feira, das 12h às 19h",ALTERADO - DADOS,AGOSTO,2014-07-31T00:00:00Z,2007-12-07T00:00:00Z,2007.0," Orientação psicológica,realiza encaminhamento de mulheres para casa abrigo, CEAM, Oferece denuncia contra agressores, apuração de denuncia sobre o descumprimento de medidas protetivas, apuração de denuncia sobre serviços.",SIM,NÃO,SIM,Autores de violência são encaminhados para a rede de apoio.,SIM,SIM,Possui sala de atendimento separada para a vítima não entrar em contato com agressor.,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,Os homens são encaminhados para os serviços da rede,LEVANTAMENTO REALIZADO COM SUCESSO,"Elaine Novaes Vieira/
 responsável pelo setor
",Grazielle Reis,2014-08-07T00:00:00Z,
22.0,CO,DF,5300108.0,BRASÍLIA,Núcleos/Defensórias Especializados de Atendimento à Mulher,Núcleos/Defensórias Especializados de Atendimento à Mulher,Núcleo de Assistência Jurídica de Defesa da Mulher do Fórum Leal Fagundes - Brasília ,"(61)3103-1926 
(61)3103-1932  ",nucleodamulher@tjdft.jus.br ,"SMAS (Setor de Múltiplas Atividades Sul) - Trecho 3, Lotes 4/6 , Bloco IV, Térreo - Fórum Desembargador José Júlio Leal Fagundes - Referência : Próximo a Rodoviária Interestadual de Brasília ",Setor de Múltiplas Atividades Sul,70610-906 ,Dulcielly Nóbrega de Almeida ,NÃO INFORMADO," De segunda a sexta-feira, das 12h às 19h. ",ALTERADO - DADOS,AGOSTO,2014-08-01T00:00:00Z,NÃO INFORMADO,2009.0,"Assessoria jurídica na área criminal (Lei Maria da Penha, Crimes e infrações penais),Assessoria jurídica na área civil: divisão de bens, medidas protetivas, Assessoria jurídica na área de família: guarda de filhos, pensão alimentícia,Acompanha a ofendida em audiência, encaminha mulheres para casa abrigo, CEAM",SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO,SIM,SIM,"O núcleo orienta as mulheres que já estão abrigadas. Somente a DEAM faz o encaminhamento para a o serviço de abrigamento por se tratar de um serviço sigiloso. 

",SIM,SIM,NÃO SE APLICA,SEM ESPECIFICAÇÃO,LEVANTAMENTO REALIZADO COM SUCESSO,"Bethânia Mirsky  
Assessora do Defensor
",Grazielle Reis,2014-08-07T00:00:00Z,
