Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44,Column 45,Column 46,Column 47,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54,Column 55,Column 56,Column 57,Column 58,Column 59,Column 60,Column 61,Column 62,Column 63,Column 64,Column 65,Column 66,Column 67,Column 68,Column 69,Column 70,Column 71,Column 72,Column 73,Column 74,Column 75,Column 76,Column 77,Column 78
11.0,CO,DF,5300108.0,BRASÍLIA,Varas Adaptadas de Violência Doméstica e Familiar,Varas Adaptadas de Violência Doméstica e Familiar,Juizado Especial Cível e Criminal e Juizado de Violência Doméstica e Familiar contra a Mulher - Brazlândia  ,Juizado ou Vara Adaptado(a) de Violência Doméstica contra a Mulher ,(61)3103-1043 (61)3103-1042 - FAX: (61)3103-0378 ,fernando.nacfur@tjdft.jus.br (somente para uso interno da SPM),"Área Especial nº 4, Rua 10 - Setor Tradicional  ",Brazlândia ,72720-040 ,Juiz Titular José Lazaro da Silva ,NÃO INFORMADO,CONFERIDO,JULHO,2014-07-11T00:00:00Z,NÃO INFORMADO,NÃO INFORMADO,"de segunda a sexta-feira, das 12h às 19h. ",NÃO,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,SEM ESPECIFICAÇÃO,SIM,SIM,NÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,NÃO INFORMADO,SIM,NÃO,SEM ESPECIFICAÇÃO ,SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO ,SEMPRE,SEM ESPECIFICAÇÃO,SIM,SIM,Se for necessário o agressor é encaminhado para orgãos que disponibilizam esse serviço. ,NÃO,NÃO,NÃO SE APLICA ,NÃO,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO,Fernando Skaf Nacfur - Diretor do Juizado ,Vanessa Gomes,2014-07-18T00:00:00Z,,,,,,,,,,,,,,,,,,,
12.0,CO,DF,5300108.0,BRASÍLIA,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizado de Violência Doméstica e Familiar Contra a Mulher - Sobradinho ,Juizado ou Vara Especializado(a) de Violência Doméstica contra a Mulher ,"(61)3103-3107 (61)3103-3122  
 FAX: (61)3103-0457     ",NÃO INFORMADO,Quadra Central -  Lote F - 1° Andar -  sala 122 - Edifício do Fórum ,Sobradinho     ,73010-902,Frederico Ernesto ,NÃO INFORMADO,CONFERIDO,JULHO,2014-07-14T00:00:00Z,2012-04-18T00:00:00Z,2012.0,"de segunda a sexta-feira, das 12h às 19h. ",SIM,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,SIM,O juizado atende crianças e adolecentes no âmbito da violência doméstica e familiar.,SIM,NÃO,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO ,NÃO,NÃO,SIM,Os encaminhamentos são feitos pela DEAM antes que cheguem ao juizado.,SEMPRE,SEM ESPECIFICAÇÃO,NÃO,SIM,"A diretora Patrícia Lacerda Fonseca informa os funcionários que compõem a equipe são temporários e até o fim de agosto estaria entrando um novo grupo de trabalho, por esse motivo não há Juiz Titular. ",NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA ,NÃO,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO,"Patrícia Lacerda Fonseca 
Diretora de secretaria 
",Amanda ,2014-07-18T00:00:00Z,,,,,,,,,,,,,,,,,,,
13.0,CO,DF,5300108.0,BRASÍLIA,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizado de Violência Doméstica e Familiar Contra a Mulher - Riacho Fundo ,Juizado ou Vara Especializado(a) de Violência Doméstica contra a Mulher ,(61)3103-4727 (61)3103-4731 – Fax: (61)3103-0381 ,01jvdfm-ria@tjdft.jus.br,QS 02 Lote A Sala 145  - Edifício do Fórum ,Riacho Fundo,71820-211,Juiz Titular Edmar Ramiro Correa ,NÃO INFORMADO,ALTERADO - DADOS,JULHO,2014-07-14T00:00:00Z,2012-04-13T00:00:00Z,2012.0,"de segunda a sexta-feira, das 12h às 19h. ",SIM,PRÓPRIOS,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,Quando o delito referente a lei 9099/95 for vinculado com a lei Maria da penha o processo vai ocorrer no juizado.,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO ,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO ,SEMPRE,SEM ESPECIFICAÇÃO,NÃO,SIM,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA ,NÃO,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO,"Lucas Braz da Silva 
Analista Judiciário/ Diretor substituto 
",Amanda ,2014-07-18T00:00:00Z,,,,,,,,,,,,,,,,,,,
14.0,CO,DF,5300108.0,BRASÍLIA,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,Vara do Juizado de Violência Doméstica e Familiar Contra a Mulher - São Sebastião,"Juizado ou Vara Especializado(a) de Violência Doméstica contra a Mulher
","(61)3103-2812 (61)3103-2813 (61)3103-2814  
 Fax:(61)3103-0508 ",juliana.procopio@tjdft.jus.br ,"CMA - Centro de Múltiplas Atividades - Lote 4 - Cartório do Juizado Especial de Violência Doméstica Contra Mulher, Sala 119 -  Referência: Fórum Desembargador Everards Mota e Matos ",São Sebastião ,71691-001 ,Juiz de Direito Marcio Evangelista Ferreira da Silva,(61) 3103-2814,CONFERIDO,JULHO,2014-07-15T00:00:00Z,NÃO INFORMADO,2012.0,"de segunda a sexta-feira, das 12h às 19h. ",NÃO,NÃO SE APLICA,SIM,É realizado por uma equipe do tribunal de justiça,SIM,Não,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,NÃO,SIM,NÃO,SEM ESPECIFICAÇÃO ,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO ,SEMPRE,SEM ESPECIFICAÇÃO,NÃO,SIM,O juizado encaminha para  DEAM e eles fazem  a deslocação para a casa abrigo. ,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA ,NÃO,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO," Juliana Moreira Procópio
 Diretora
",Amanda ,2014-07-18T00:00:00Z,,,,,,,,,,,,,,,,,,,
15.0,CO,DF,5300108.0,BRASÍLIA,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,1º Juizado de Violência Doméstica e Familiar Contra a Mulher - Brasília ,Juizado ou Vara Especializado(a) de Violência Doméstica contra a Mulher ,"(61)3103-1874 (61)3103-1877 
 Fax: (61)3103-0704 ",luciara.almeida@tjdft.jus.br  /geuzilene.araujo@tjdft.jus.br ,"SMAS (Setor de Múltiplas Atividades Sul) - Trecho 03, lotes 4/6, Bloco 02 – Complemento :  Fórum José Júlio Leal Fagundes - Referência : Próximo a Rodoviária Interestadual e Estação do Mêtro do Parkshopping ",Brasilia,72215-300 ,Luciara Barboza Gentil Almeida ,(61)92138017 ,ALTERADO - DADOS,JULHO,2014-07-16T00:00:00Z,2008-09-12T00:00:00Z,2008.0,"de segunda a sexta-feira, das 12h às 19h .",SIM,PRÓPRIOS,SIM,A equipe multidisciplinar é composta por servidores próprios e terceirizados.,SIM,SIM,Em todos os casos quando for no âmbito doméstico e familiar.,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO ,NÃO,SIM,NÃO,SEM ESPECIFICAÇÃO ,SEMPRE,SEM ESPECIFICAÇÃO,NÃO,SIM,O encaminhamento da vítima para o serviço de abrigamento é realizado através delegacia.,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA ,NÃO,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO,"Resposta obtida por e-mail.
Geuzilene da Silva Araújo
Diretora de Secretaria Substituta
",Vanessa Gomes,2014-07-18T00:00:00Z,,,,,,,,,,,,,,,,,,,
16.0,CO,DF,5300108.0,BRASÍLIA,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,2º Juizado de Violência Doméstica e Familiar Contra a Mulher - Brasília,Juizado ou Vara Adaptado(a) de Violência Doméstica contra a Mulher ,"(61)3103-1876 (61)3103-1880
 Fax: (61)3103-0714 ",2jvdfm.bsb@tjdft.jus.br ,"SMAS (Setor de Múltiplas Atividades Sul)  Trecho 03, Lotes 4/6, Bloco 02, Pavimento 1 - Fórum José Júlio Leal Fagundes - Referência: Próximo a Rodoviária Interestadual e Estação do Mêtro do Parkshopping ",Brasília,70610-906 ,Silvana da Silva Chaves,NÃO INFORMADO,CONFERIDO,JULHO,2014-07-15T00:00:00Z,NÃO INFORMADO,2009.0,"de segunda a sexta-feira, das 12h às 19h. ",NÃO,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO ,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO ,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO ,SEMPRE,SEM ESPECIFICAÇÃO,NÃO,SIM,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA ,NÃO,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO,"
Monique Frota Portela de Oliveira 
Técnico Judiciário 

 ",Amanda ,2014-07-18T00:00:00Z,,,,,,,,,,,,,,,,,,,
17.0,CO,DF,5300108.0,BRASÍLIA,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,3º Juizado de Violência Doméstica e Familiar Contra a Mulher - Brasília ,Juizado ou Vara Especializado(a) de Violência Doméstica contra a Mulher ,(61)3103-1908       (61)3103-1907              Fax:(61)3103-0722 ,daniela.montoro@tjdft.jus.br  ,"SMAS (Setor de Múltiplas Atividades Sul)  Trecho 03, Lotes 4/6, Bloco 02, Pavimento 1 – Referência : Próximo a Rodoviária Interestadual e Estação do Mêtro do Parkshopping - Complemento: Fórum José Júlio Leal Fagundes ",Brasilia,70610-906 ,Izabel de Oliveira Pinto,NÃO INFORMADO,CONFERIDO,SETEMBRO,2014-09-24T00:00:00Z,NÃO INFORMADO,2009.0,"de segunda a sexta-feira, das 12h às 19h. ",SIM,PRÓPRIOS,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO ,SIM,NÃO INFORMADO,SIM,SEMPRE QUE NECESSÁRIO O CASAL/FAMILIA É ENCAMINHADO AO SERVIÇO PSICOSSOCIAL FORENSE.,FREQUENTEMENTE,SEM ESPECIFICAÇÃO,NÃO INFORMADO,NÃO INFORMADO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO,"Daniela Silva Montoro
Diretora de Secretaria
",Maria Mônica,2014-09-29T00:00:00Z,,,,,,,,,,,,,,,,,,,
18.0,CO,DF,5300108.0,BRASÍLIA,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,1º Juizado de Violência Doméstica e Familiar Contra a Mulher - Ceilândia ,Juizado ou Vara Especializado(a) de Violência Doméstica contra a Mulher ,"(61)3103-9377 - (61)3103-9378 -  (61)3103-9379 
 Fax: (61)3103-0392     ",tania.oliveira@tjdft.jus.br,"QNM 11 Área Especial 01, Térreo - Sala 143 - Edifício do Fórum de Ceilândia ",Ceilândia Centro,72215-110 ,Carlos Bismarck Piske de Azevedo Barbosa  ,(61)3103-9379,CONFERIDO,JULHO,2014-07-15T00:00:00Z,NÃO INFORMADO,2012.0,"de segunda a sexta-feira, das 12h às 19h. ",SIM,PRÓPRIOS,SIM,Alguns funcionários da equipe multidisciplinar são terceirizados e outros são cedidos pelo Tribunal de Justiça. ,SIM,NÃO ,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO ,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO ,SEMPRE,SEM ESPECIFICAÇÃO,NÃO,SIM,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA ,NÃO,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO,"Marilza Pereira Brito
Diretora de secretaria substituta
",Amanda ,2014-07-18T00:00:00Z,,,,,,,,,,,,,,,,,,,
19.0,CO,DF,5300108.0,BRASÍLIA,Varas Adaptadas de Violência Doméstica e Familiar,Varas Adaptadas de Violência Doméstica e Familiar,1º Juizado Especial Cível e Criminal e 1º Juizado de Violência Doméstica e Familiar Contra a Mulher - Paranoá ,Juizado ou Vara Adaptado(a) de Violência Doméstica contra a Mulher ,"(61)3103-2205 (61)3103-2207 
 Fax: (61)3103-0654 ",1jecg.par@tjdft.jus.br ,"Quadra 03, Área Especial, Lote 02 ",Paranoá,71570-301 ,Waldir da Paz Almeida,(61) 3103-2207,CONFERIDO,JULHO,2014-07-15T00:00:00Z,NÃO INFORMADO,2006.0,"de segunda a sexta-feira, das 12h às 19h. ",NÃO,NÃO SE APLICA,SIM,O juizado encaminha para o centro de referência.,NÃO SE APLICA,NÃO SE APLICA,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO,NÃO INFORMADO,SIM,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO ,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO ,SEMPRE,SEM ESPECIFICAÇÃO,NÃO,SIM,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO INFORMADO,NÃO SE APLICA ,NÃO,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO,"  Rodrigo de Carvalho e Silva 
Diretor de secretaria 
",Amanda ,2014-07-18T00:00:00Z,,,,,,,,,,,,,,,,,,,
20.0,CO,DF,5300108.0,BRASÍLIA,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,3º Juizado de Violência Doméstica e Familiar Contra a Mulher - Samambaia ,Juizado ou Vara Especializado(a) de Violência Doméstica contra a Mulher ,(61)3103-2608 ,NÃO INFORMADO,Quadra 02 Area Especial 1 e 2 - s/nº - Centro Urbano de Samambaia Sul  - Referência : Fórum de Samambaia ,Samambaia Sul,72360-030 ,Maria kenia Queiroz Silva,NÃO INFORMADO,ALTERADO - DADOS,JULHO,2014-07-15T00:00:00Z,NÃO INFORMADO,NÃO INFORMADO,"de segunda a sexta-feira, das 12h às 19h. ",NÃO,NÃO SE APLICA,SIM,O atendimento multidisciplinar é realizado por profissionais vinculados ao Tribunal de Justiça. ,SIM,SIM,Âmbito de criança e adolescente se no âmbito de violência doméstica,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO ,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO ,SEMPRE,SEM ESPECIFICAÇÃO,NÃO,SIM,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA ,NÃO SE APLICA,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO,"Maria kenia Queiroz Silva
Diretora de Secretaria
",Amanda ,2014-07-18T00:00:00Z,,,,,,,,,,,,,,,,,,,
21.0,CO,DF,5300108.0,BRASÍLIA,Varas Adaptadas de Violência Doméstica e Familiar,Varas Adaptadas de Violência Doméstica e Familiar,1º Juizado Especial Cível e Criminal e 1º Juizado de Violência Doméstica e Familiar Contra a Mulher - Samambaia ,Juizado ou Vara Adaptado(a) de Violência Doméstica contra a Mulher ,"(61)3103-2664 (61)3103-2682   
 Fax: (61)3103-0468     ",katiana.gomes@tjdft.jus.br,"QR 302, Área Urbana 1 - Referência: Fórum de Samambaia ",Samambaia Sul,72360-030 ,Juiz Edilberto Martins de Oliveira,NÃO INFORMADO,CONFERIDO,JULHO,2014-07-14T00:00:00Z,1998-11-24T00:00:00Z,1998.0,"de segunda a sexta-feira, das 12h às 19h. ",SIM,PRÓPRIOS,SIM,A equipe multidisciplinar é composta por servidores próprios e terceirizados.,NÃO SE APLICA,NÃO SE APLICA,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO ,NÃO,NÃO,NÃO,SEM ESPECIFICAÇÃO ,SEMPRE,SEM ESPECIFICAÇÃO,NÃO,SIM,Pelo Ministério Público. ,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA ,NÃO SE APLICA,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO,Katiana Germania Pereira Gomes  Diretora de Secretaria,Vanessa Gomes,2014-07-18T00:00:00Z,,,,,,,,,,,,,,,,,,,
22.0,CO,DF,5300108.0,BRASÍLIA,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,2º Juizado de Violência Doméstica e Familiar Contra a Mulher - Samambaia ,Juizado ou Vara Adaptado(a) de Violência Doméstica contra a Mulher ,(61)3103-2658 (61)3103-2672   ,helenice.silva@tjdft.jus.br e marcia.vieira@tjdft.jus.br,Quadra 02 Area Especial 1 e 2 - Centro Urbano de Samambaia Sul - Referência : Fórum de Samambaia ,Samambaia Sul,72360-030 ,Helenice Pereira Duarte da Silva,"(61)3103-2658 
(61)3103-2672   ",CONFERIDO,SETEMBRO,2014-09-23T00:00:00Z,NÃO INFORMADO,NÃO INFORMADO,"de segunda a sexta-feira, das 12h às 19h. ",NÃO INFORMADO,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,Aqueles no âmbito da Lei 9.099/1995 (Infrações de menor potencial ofensivo),NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,NÃO,NÃO,SEM ESPECIFICAÇÃO ,NÃO INFORMADO,SIM,NÃO,SEM ESPECIFICAÇÃO ,SEMPRE,SEM ESPECIFICAÇÃO,NÃO,SIM,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO,"Resposta obtida por e-mail.
Helenice Pereira Duarte da Silva
Diretora de Secretaria 
",Vanessa Gomes,2014-09-24T00:00:00Z,,,,,,,,,,,,,,,,,,,
23.0,CO,DF,5300108.0,BRASÍLIA,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizado de Violência Doméstica e Familiar Contra a Mulher - Santa Maria ,Juizado ou Vara Especializado(a) de Violência Doméstica contra a Mulher ,"(61)3103-5795 (61)3103-5796 
Fax: (61)3103-0485 ",01jvdfm.sta@tjdft.jus.br ,QR 211 Conjunto A Lote 1 - Sala A10 - Fórum de Santa Maria ,Santa Maria ,72535-550,Gislaine Carneiro Campos Reis ,(61)3103-5796,CONFERIDO,JULHO,2014-07-14T00:00:00Z,2012-10-03T00:00:00Z,2012.0,"de segunda a sexta-feira, das 12h às 19h. ",NÃO,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,Atende também a lei 9.099/1995 (Infrações de menor potencial ofensivo) no âmbito da violência doméstica familiar.,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO ,NÃO,SIM,NÃO,SEM ESPECIFICAÇÃO ,SEMPRE,SEM ESPECIFICAÇÃO,NÃO,NÃO," Quando identificado a necessidade de encaminhamento do agressor, e realizada para centros de referência. ",NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA ,NÃO,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO,"Hellen Regina de Amorim Martins 
Técnico judiciário ",Amanda ,2014-07-18T00:00:00Z,,,,,,,,,,,,,,,,,,,
24.0,CO,DF,5300108.0,BRASÍLIA,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizado de Violência Doméstica e Familiar Contra a Mulher - Taguatinga ,Juizado ou Vara Especializado(a) de Violência Doméstica contra a Mulher ,(61)3103-8130 (61)3103-8131 (61)3103-8129,franciasco.heanes@tjdft.jus.br ,Setor C Norte Área Especial nº 23 - Salas 51 - Referência : Atrás do Colégio Projeção ,Taguatinga Norte,72115-901,NÃO INFORMADO,NÃO INFORMADO,ALTERADO - DADOS,AGOSTO,2014-07-14T00:00:00Z,NÃO INFORMADO,NÃO INFORMADO,"de segunda a sexta-feira, das 12h às 19h",NÃO,NÃO SE APLICA,SIM,A equipe multidisciplinar é uma equipe do tribunal de justiça que atende todos os juizados.,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO ,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO ,SEMPRE,SEM ESPECIFICAÇÃO,NÃO,SIM,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO,"Francisco Heanes Medeiros lima 
Diretor de Secretaria  
",Amanda ,2014-07-18T00:00:00Z,,,,,,,,,,,,,,,,,,,
25.0,CO,DF,5300108.0,BRASÍLIA,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizado de Violência Doméstica e Familiar Contra a Mulher - Núcleo Bandeirante ,Juizado ou Vara Especializado(a) de Violência Doméstica contra a Mulher ,"(61)3103-2020 (61)3103-2021 
Fax:(61)3103-0632 ",NÃO INFORMADO,"Avenida Contorno, Área Especial 13 
Núcleo Bandeirante 
",Núcleo Bandeirante,71705-535,Ben-Hur Viza ,NÃO INFORMADO,ALTERADO - DADOS,AGOSTO,2014-07-15T00:00:00Z,2011-10-07T00:00:00Z,2011.0,"de segunda a sexta-feira, das 12h às 19h",SIM,PRÓPRIOS,SIM,A equipe multidisciplinar é uma equipe do tribunal de justiça que atende todos os juizados.,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,SIM,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO ,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO ,SEMPRE,SEM ESPECIFICAÇÃO,NÃO,SIM,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO,"Deiza Carla Medeiros Leite
Diretora de Secretaria 
",Amanda  ,2014-07-18T00:00:00Z,,,,,,,,,,,,,,,,,,,
26.0,CO,DF,5300108.0,BRASÍLIA,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizados de Violência Doméstica e Familiar contra à Mulher,Juizado de Violência Doméstica e Familiar Contra a Mulher - Planaltina,Juizado ou Vara Especializado(a) de Violência Doméstica contra a Mulher ,(61)3103-2442 (61)3103-2445   - Fax: (61)3103-0452 ,mauro.chaiden@tjdft.jus.br,"Edificio Fórum ,Avenida W/L2 , Setor Administrativo - Sala 75 ALTERAR: (82) , Lote 420 - Referência : Fórum de Planaltina ",Planaltina,73310-970 ,Leila da Silva Segurado Pimentel Lote / mauro,NÃO INFORMADO,ALTERADO - DADOS,AGOSTO,2014-07-15T00:00:00Z,NÃO INFORMADO,NÃO INFORMADO,"de segunda a sexta-feira, das 12h às 19h",SIM,PRÓPRIOS,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO,SEM ESPECIFICAÇÃO,SIM,NÃO,NÃO,SIM,NÃO,SEM ESPECIFICAÇÃO ,SIM,SIM,NÃO,SEM ESPECIFICAÇÃO ,SEMPRE,SEM ESPECIFICAÇÃO,SIM,NÃO INFORMADO,SEM ESPECIFICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,SEM ESPECIFICAÇÃO ,LEVANTAMENTO REALIZADO COM SUCESSO,"Valdenir Resende Júnior 
Diretor substituto 
  ",vanessa Gomes,2014-07-18T00:00:00Z,,,,,,,,,,,,,,,,,,,
